Product,Component,Current Price,Average Price,Price Change %,Last Purchase (days ago),Volatility,Trend,Recommendation
"1 oz Jasmine","Bottle (1 oz)","0.59","0.90","-34.4","6","high","decreasing",""
"1 oz Jasmine","Sticker (1 oz)","0.42","0.42","0.0","5","low","stable","At all low - good time to buy"
"1 oz Jasmine","Box Branding (1 oz)","0.77","0.78","-1.3","5","low","stable","At all low - good time to buy"
"1 oz Jasmine","Bottle Branding (1 oz)","2.33","2.28","2.2","5","low","stable","At all low - good time to buy"
"1 oz Jasmine","Oil","2.58","2.58","0.0","5","low","stable","At all low - good time to buy"
"1 oz Jasmine","Lid (1 oz)","0.70","0.65","7.7","5","medium","increasing","At all high - consider supplier review"
"1 oz Jasmine","Box (1 oz)","1.60","1.60","0.0","5","low","stable","At all low - good time to buy"
"1 oz Sweetgrass","Lid (1 oz)","0.70","0.65","7.7","5","medium","increasing","At all high - consider supplier review"
"1 oz Sweetgrass","Bottle Branding (1 oz)","2.33","2.28","2.2","5","low","stable","At all low - good time to buy"
"1 oz Sweetgrass","Bottle (1 oz)","0.59","0.90","-34.4","6","high","decreasing",""
"1 oz Sweetgrass","Box (1 oz)","1.60","1.60","0.0","5","low","stable","At all low - good time to buy"
"1 oz Sweetgrass","Oil","2.58","2.58","0.0","5","low","stable","At all low - good time to buy"
"1 oz Sweetgrass","Sticker (1 oz)","0.42","0.42","0.0","5","low","stable","At all low - good time to buy"
"1 oz Sweetgrass","Box Branding (1 oz)","0.77","0.78","-1.3","5","low","stable","At all low - good time to buy"
"5 oz Jasmine","Box (5 oz)","1.76","1.76","0.0","5","low","stable","At all low - good time to buy"
"5 oz Jasmine","Lid (5 oz)","1.08","1.06","1.9","5","low","stable","At all low - good time to buy"
"5 oz Jasmine","Bottle Branding (5 oz)","2.30","2.30","-0.2","5","low","stable","At all low - good time to buy"
"5 oz Jasmine","Sticker (5 oz)","0.43","0.43","0.0","5","low","stable","At all low - good time to buy"
"5 oz Jasmine","Bottle (5 oz)","1.23","1.12","9.8","5","medium","increasing","At all high - consider supplier review"
"5 oz Jasmine","Oil","2.58","2.58","0.0","5","low","stable","At all low - good time to buy"
"5 oz Jasmine","Box Branding (5 oz)","0.77","0.74","3.4","5","low","stable","At all high - consider supplier review"
"5 oz Sweetgrass","Box (5 oz)","1.76","1.76","0.0","5","low","stable","At all low - good time to buy"
"5 oz Sweetgrass","Oil","2.58","2.58","0.0","5","low","stable","At all low - good time to buy"
"5 oz Sweetgrass","Lid (5 oz)","1.08","1.06","1.9","5","low","stable","At all low - good time to buy"
"5 oz Sweetgrass","Box Branding (5 oz)","0.77","0.74","3.4","5","low","stable","At all high - consider supplier review"
"5 oz Sweetgrass","Sticker (5 oz)","0.43","0.43","0.0","5","low","stable","At all low - good time to buy"
"5 oz Sweetgrass","Bottle Branding (5 oz)","2.30","2.30","-0.2","5","low","stable","At all low - good time to buy"
"5 oz Sweetgrass","Bottle (5 oz)","1.23","1.12","9.8","5","medium","increasing","At all high - consider supplier review"
