Component,Vendor,Average Price,Min Price,Max Price,Purchase Count,Best Price,Savings vs Worst
"Oil","ABC","2.58","2.58","2.58","1","YES",""
"Bottle (1 oz)","ABC","0.59","0.59","0.59","1","YES",""
"Bottle (1 oz)","Grace Now","1.26","1.26","1.26","1","","$0.67"
"Sticker (1 oz)","Sticker","0.42","0.42","0.42","1","YES",""
"Sticker (5 oz)","Sticker","0.43","0.43","0.43","1","YES",""
"Box (1 oz)","TGP","1.60","1.60","1.60","1","YES",""
"Box (5 oz)","TGP","1.76","1.76","1.76","1","YES",""
"Bottle Branding (5 oz)","TGP","2.30","2.30","2.30","1","YES",""
"Bottle (5 oz)","Trabc","1.23","1.23","1.23","1","YES",""
"Bottle Branding (1 oz)","Trabc","2.33","2.33","2.33","1","YES",""
"Lid (1 oz)","Grace Now","0.70","0.70","0.70","1","YES",""
"Lid (5 oz)","Grace Now","1.08","1.08","1.08","1","YES",""
"Box Branding (1 oz)","Teal'c","0.77","0.77","0.77","1","YES",""
"Box Branding (5 oz)","Teal'c","0.77","0.77","0.77","1","YES",""
